ID,Construction_ID,Parameter_ID,Code_ID,Value
afar1241-suffix-it--synthesis,afar1241-suffix-it-,synthesis,n-synth,synthetic
afar1241-suffix-it--strategy,afar1241-suffix-it-,strategy,type2-suffix,suffix
afar1241-suffix-it--passive,afar1241-suffix-it-,passive,passive-compl,construction in complementary distribution
afar1241-suffix-it--anticausative,afar1241-suffix-it-,anticausative,anticausative-mid,middle marker
afar1241-suffix-it--reflexive,afar1241-suffix-it-,reflexive,reflexive-compl,construction in complementary distribution
afar1241-suffix-it--reciprocal,afar1241-suffix-it-,reciprocal,reciprocal-compl,construction in complementary distribution
afar1241-suffix-it--antipassive,afar1241-suffix-it-,antipassive,antipassive-no,no
afar1241-suffix-it--self-benefactive,afar1241-suffix-it-,self-benefactive,selfbenefactive-mid,middle marker
afar1241-suffix-it--impersonal,afar1241-suffix-it-,impersonal,impersonal-no,no
afar1241-suffix-it--facilitative,afar1241-suffix-it-,facilitative,facilitative-no,no
afar1241-suffix-it--syncretismpattern,afar1241-suffix-it-,syncretismpattern,oppositional-antcself,ANTC/SELF
afar1241-suffix-it--voicefunctions,afar1241-suffix-it-,voicefunctions,number_opp_functions-2,2
afar1241-suffix-it--diachronicsourcetype,afar1241-suffix-it-,diachronicsourcetype,source-refl,reflexive
ahte1237-prefixd--synthesis,ahte1237-prefixd-,synthesis,n-synth,synthetic
ahte1237-prefixd--strategy,ahte1237-prefixd-,strategy,type2-prefix,prefix
ahte1237-prefixd--passive,ahte1237-prefixd-,passive,passive-mid,middle marker
ahte1237-prefixd--anticausative,ahte1237-prefixd-,anticausative,anticausative-mid,middle marker
ahte1237-prefixd--reflexive,ahte1237-prefixd-,reflexive,reflexive-mid,middle marker
ahte1237-prefixd--reciprocal,ahte1237-prefixd-,reciprocal,reciprocal-mid,middle marker
ahte1237-prefixd--antipassive,ahte1237-prefixd-,antipassive,antipassive-no,no
ahte1237-prefixd--self-benefactive,ahte1237-prefixd-,self-benefactive,selfbenefactive-mid,middle marker
ahte1237-prefixd--impersonal,ahte1237-prefixd-,impersonal,impersonal-no,no
ahte1237-prefixd--facilitative,ahte1237-prefixd-,facilitative,facilitative-no,no
ahte1237-prefixd--otheroppositionalfunctions,ahte1237-prefixd-,otheroppositionalfunctions,other_opp_class-aspectother,"aspect, other"
ahte1237-prefixd--syncretismpattern,ahte1237-prefixd-,syncretismpattern,oppositional-passantcreflselfrecp,PASS/ANTC/REFL/SELF/RECP
ahte1237-prefixd--voicefunctions,ahte1237-prefixd-,voicefunctions,number_opp_functions-5,5
ahte1237-prefixd--diachronicsourcetype,ahte1237-prefixd-,diachronicsourcetype,source-refl,reflexive
akka1240-n-stem-synthesis,akka1240-n-stem,synthesis,n-synth,synthetic
akka1240-n-stem-strategy,akka1240-n-stem,strategy,type2-prefixvoweltemplate,prefix+vowel template
akka1240-n-stem-passive,akka1240-n-stem,passive,passive-mid,middle marker
akka1240-n-stem-anticausative,akka1240-n-stem,anticausative,anticausative-mid,middle marker
akka1240-n-stem-reflexive,akka1240-n-stem,reflexive,reflexive-mid,middle marker
akka1240-n-stem-reciprocal,akka1240-n-stem,reciprocal,reciprocal-mid,middle marker
akka1240-n-stem-antipassive,akka1240-n-stem,antipassive,antipassive-no,no
akka1240-n-stem-self-benefactive,akka1240-n-stem,self-benefactive,selfbenefactive-no,no
akka1240-n-stem-impersonal,akka1240-n-stem,impersonal,impersonal-no,no
akka1240-n-stem-facilitative,akka1240-n-stem,facilitative,facilitative-no,no
akka1240-n-stem-otheroppositionalfunctions,akka1240-n-stem,otheroppositionalfunctions,other_opp_class-aspect,aspect
akka1240-n-stem-syncretismpattern,akka1240-n-stem,syncretismpattern,oppositional-passantcreflrecp,PASS/ANTC/REFL/RECP
akka1240-n-stem-voicefunctions,akka1240-n-stem,voicefunctions,number_opp_functions-4,4
akka1240-n-stem-diachronicsourcetype,akka1240-n-stem,diachronicsourcetype,source-norefl,non-reflexive voice marker
akka1240-n-stem-nonreflexivesourcetype,akka1240-n-stem,nonreflexivesourcetype,source_2-lex,lexical source
akka1240-t-stem-synthesis,akka1240-t-stem,synthesis,n-synth,synthetic
akka1240-t-stem-strategy,akka1240-t-stem,strategy,type2-prefixvoweltemplate,prefix+vowel template
akka1240-t-stem-passive,akka1240-t-stem,passive,passive-mid,middle marker
akka1240-t-stem-anticausative,akka1240-t-stem,anticausative,anticausative-no,no
akka1240-t-stem-reflexive,akka1240-t-stem,reflexive,reflexive-mid,middle marker
akka1240-t-stem-reciprocal,akka1240-t-stem,reciprocal,reciprocal-mid,middle marker
akka1240-t-stem-antipassive,akka1240-t-stem,antipassive,antipassive-no,no
akka1240-t-stem-self-benefactive,akka1240-t-stem,self-benefactive,selfbenefactive-no,no
akka1240-t-stem-impersonal,akka1240-t-stem,impersonal,impersonal-no,no
akka1240-t-stem-facilitative,akka1240-t-stem,facilitative,facilitative-no,no
akka1240-t-stem-otheroppositionalfunctions,akka1240-t-stem,otheroppositionalfunctions,other_opp_class-other,other
akka1240-t-stem-syncretismpattern,akka1240-t-stem,syncretismpattern,oppositional-passreflrecp,PASS/REFL/RECP
akka1240-t-stem-voicefunctions,akka1240-t-stem,voicefunctions,number_opp_functions-3,3
akka1240-t-stem-diachronicsourcetype,akka1240-t-stem,diachronicsourcetype,source-unknown,unknown
akun1241-pronounte-synthesis,akun1241-pronounte,synthesis,n-analytic,analytic
akun1241-pronounte-strategy,akun1241-pronounte,strategy,type2-cliticpronoun,clitic pronoun
akun1241-pronounte-passive,akun1241-pronounte,passive,passive-no,no
akun1241-pronounte-anticausative,akun1241-pronounte,anticausative,anticausative-mid,middle marker
akun1241-pronounte-reflexive,akun1241-pronounte,reflexive,reflexive-compt,construction in competition
akun1241-pronounte-reciprocal,akun1241-pronounte,reciprocal,reciprocal-mid,middle marker
akun1241-pronounte-antipassive,akun1241-pronounte,antipassive,antipassive-no,no
akun1241-pronounte-self-benefactive,akun1241-pronounte,self-benefactive,selfbenefactive-no,no
akun1241-pronounte-impersonal,akun1241-pronounte,impersonal,impersonal-no,no
akun1241-pronounte-facilitative,akun1241-pronounte,facilitative,facilitative-no,no
akun1241-pronounte-syncretismpattern,akun1241-pronounte,syncretismpattern,oppositional-antcreflrecp,ANTC/REFL/RECP
akun1241-pronounte-voicefunctions,akun1241-pronounte,voicefunctions,number_opp_functions-3,3
akun1241-pronounte-diachronicsourcetype,akun1241-pronounte,diachronicsourcetype,source-refl,reflexive
alab1254-suffix-akk----synthesis,alab1254-suffix-akk---,synthesis,n-synth,synthetic
