ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
afar1241,Afar,Africa,12.2281,41.8083,afar1241,aar
ahte1237,Ahtena,North America,61.7068,-144.889,ahte1237,aht
akka1240,Akkadian,Eurasia,33.1,44.1,akka1240,akk
akun1241,Akuntsu,South America,-12.8322,-60.9716,akun1241,aqz
alab1254,Alaba,Africa,7.39014,38.1732,alab1254,alw
amha1245,Amharic,Africa,11.708182,39.543456,amha1245,amh
apin1244,Apinayé,South America,-6.10774,-47.6315,apin1244,apn
bali1278,Balinese,Papunesia,-8.35714,115.075,bali1278,ban
bard1255,Bardi,Australia,-16.6274,122.906,bard1255,bcj
batu1258,Batuley,Papunesia,-5.814412,134.784314,batu1258,bay
bell1243,Bella Coola,North America,52.3448,-126.689,bell1243,blc
bibl1238,"Hebrew, Biblical",Eurasia,,,bibl1238,
bidy1244,Bidyogo,Africa,11.1097,-16.1497,bidy1244,bjg
brib1243,Bribri,North America,9.39794,-83.0539,brib1243,bzd
bull1246,Bullom So,,,,bull1246,
buru1296,Burushaski,Eurasia,36.2161,74.8236,buru1296,bsk
bwat1240,Bwatoo,Papunesia,-21.3777,165.076,bwat1240,bwa
cadd1256,Caddo,North America,33.33,-93.5,cadd1256,cad
cavi1250,Cavineña,South America,-13.3544,-66.6277,cavi1250,cav
chit1248,Chitimacha,North America,30.3386,-90.9123,chit1248,ctm
chuw1238,Chuwabu,Africa,-17.3428,37.1231,chuw1238,chw
colu1241,Columbia-Wenatchi,North America,48.217,-118.454,colu1241,col
cree1270,Muskogee,North America,31.0,-87.5,cree1270,mus
daai1236,Daai Chin,Eurasia,20.7347,93.7853,daai1236,dao
daas1238,Daasanach,Africa,4.58879,35.9888,daas1238,dsh
daga1275,Daga,Papunesia,-9.9747,149.263,daga1275,dgz
dulo1243,Drung,Eurasia,,,dulo1243,
east2652,"Oromo, Eastern",Africa,8.67428,41.4395,east2652,hae
east2774,"Khanty, Eastern",,59.97339,74.44,east2774,
enap1235,Panare (E’ñapa Woromaipu),South America,6.95035,-65.8483,enap1235,pbh
eton1256,Eton,Papunesia,,,eton1256,
fass1245,Fas,Papunesia,-3.10868,141.64,fass1245,fqs
fwee1238,Fwe,Africa,-17.72372,24.43151,fwee1238,fwe
gahr1239,Bunan,Eurasia,32.2168,77.9596,gahr1239,bfu
gara1269,Garrwa,Australia,-17.4504,137.72014,gara1269,wrk
guah1255,Guahibo,South America,5.81736,-68.9839,guah1255,guh
guer1243,"Amuzgo, Guerrero",North America,16.77226,-98.18953,guer1243,amu
halk1245,Halkomelem,North America,49.250402,-122.443668,halk1245,hur
hame1242,Hamer-Banna,Africa,5.06515,36.5176,hame1242,amf
haus1257,Hausa,Africa,11.1513,8.7804,haus1257,hau
hida1246,Hidatsa,North America,47.33,-102.0,hida1246,hid
hinu1240,Hinukh,Eurasia,42.4502,45.8064,hinu1240,gin
hitt1242,Hittite,Eurasia,40.0,35.0,hitt1242,hit
hooo1248,Ho,Eurasia,23.9596,87.1188,hooo1248,hoc
huas1242,"Huastec, South Eastern",North America,21.6153,-98.5028,huas1242,hus
hupd1244,Hupdë,South America,0.58622,-69.8359,hupd1244,jup
idaa1241,Ida'an,Papunesia,5.29059,118.515,idaa1241,dbj
iraq1241,Iraqw,Africa,-4.19948,35.2939,iraq1241,irk
ital1282,Italian,Eurasia,43.0464,12.6489,ital1282,ita
kano1245,Kanoê,South America,-12.1789,-64.5812,kano1245,kxo
karb1241,"Karbi, Hills",Eurasia,25.7317,93.0462,karb1241,mjw
kart1248,Laz,,,,kart1248,
kaya1319,Kayardild,Australia,-17.0695,139.489,kaya1319,gyd
khar1287,Kharia,Eurasia,22.3571,84.3922,khar1287,khr
kiow1266,Kiowa,North America,34.9403,-98.9042,kiow1266,kio
kons1243,Konso,Africa,5.39111,37.53,kons1243,kxc
koyu1237,Koyukon,North America,65.6093,-154.229,koyu1237,koy
kryt1240,Kryz,Eurasia,41.1811,48.1846,kryt1240,kry
kuru1301,Kurux,Eurasia,24.46442,86.46568,kuru1301,kru
kusu1250,Kusunda,Eurasia,28.33,82.6,kusu1250,kgg
laal1242,Laal,Africa,10.0063,17.6143,laal1242,gdm
lewo1244,Lewotobi,Papunesia,-8.54573,122.747,lewo1244,lwt
lika1243,Lika,Africa,2.13777,27.6088,lika1243,lik
lith1251,Lithuanian,Eurasia,55.1429,23.9601,lith1251,lit
lumu1239,Lumun,Africa,10.8308,30.253,lumu1239,lmd
lush1249,Mizo,Eurasia,22.6138,92.6247,lush1249,lus
makw1236,Makwe,Africa,-10.4673,40.0274,makw1236,ymk
mapu1245,Mapudungun,South America,-38.7392,-71.277,mapu1245,arn
maru1253,Yaul,Papunesia,,,maru1253,
masa1300,Masai,Africa,-3.1419,36.4573,masa1300,mas
mikm1235,Mi'kmaq,North America,46.0,-64.0,mikm1235,mic
mode1248,"Greek, Modern",Eurasia,38.36,23.13,mode1248,ell
