ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
afar1241-middle-markers,afar1241,middle-markers,S / u / f / f / . /   / - / ( / i / ) / t / -,,,
ahte1237-middle-markers,ahte1237,middle-markers,P / r / e / f / . /   / d / -,,,
akka1240-middle-markers,akka1240,middle-markers,T / - / s / t / e / m,,,
akun1241-middle-markers,akun1241,middle-markers,P / r / o / n / o / u / n /   / t / e,,,
alab1254-middle-markers,alab1254,middle-markers,S / u / f / f / . /   / - / a / k / k / ' / - / / /   / - / ʔ / -,,,
amha1245-middle-markers,amha1245,middle-markers,P / r / e / f / . /   / t / ä / -,,,
guer1243-middle-markers,guer1243,middle-markers,T / e / m / a /   / e / x / t / e / n / d / i / d / o,,,
apin1244-middle-markers,apin1244,middle-markers,a / - / s / e / r / i / e / s /   / p / r / e / f / i / x / e / s,,,
nucl1235-middle-markers,nucl1235,middle-markers,S / u / f / f / . /   / - / v / -,,,
sout2996-middle-markers,sout2996,middle-markers,S / u / f / f / . /   / - / s / i / -,,,
bali1278-middle-markers,bali1278,middle-markers,P / r / e / f / . /   / m / a / -,,,
bard1255-middle-markers,bard1255,middle-markers,C / i / r / c / . /   / ( / m / a / ) / - / . / . / . / - / i / n / y / j,,,
batu1258-middle-markers,batu1258,middle-markers,P / r / e / f / . /   / r / -,,,
bell1243-middle-markers,bell1243,middle-markers,S / u / f / f / . /   / - / m / -,,,
bidy1244-middle-markers,bidy1244,middle-markers,P / r / e / f / . /   / n / ɛ / -,,,
brib1243-middle-markers,brib1243,middle-markers,S / u / f / f / . /   / - / r / -,,,
bull1246-middle-markers,bull1246,middle-markers,S / u / f / f / . /   / - / n / -,,,
gahr1239-middle-markers,gahr1239,middle-markers,S / u / f / f / . /   / - / s / -,,,
buru1296-middle-markers,buru1296,middle-markers,P / r / e / f / . /   / d / d / -,,,
bwat1240-middle-markers,bwat1240,middle-markers,P / r / e / f / . /   / v / e / -,,,
cadd1256-middle-markers,cadd1256,middle-markers,S / u / f / f / . /   / - / u / ˀ,,,
cavi1250-middle-markers,cavi1250,middle-markers,S / u / f / f / . /   / - / t / a / ( / n / a / ),,,
chit1248-middle-markers,chit1248,middle-markers,P / r / e / v / e / r / b /   / ʔ / a / p / š,,,
chuw1238-middle-markers,chuw1238,middle-markers,S / u / f / f / . /   / - / u / w / -,,,
colu1241-middle-markers,colu1241,middle-markers,S / u / f / f / . /   / - / m / -,,,
daai1236-middle-markers,daai1236,middle-markers,P / r / e / f / . /   / n / g / -,,,
daas1238-middle-markers,daas1238,middle-markers,S / u / f / f / . /   / - / s / -,,,
daga1275-middle-markers,daga1275,middle-markers,I / n / t / e / n / s / i / v / e /   / s / u / f / f / i / x / e / s,,,
dulo1243-middle-markers,dulo1243,middle-markers,s / u / f / f / . /   / - / ɕ / ɯ / ̌,,,
eton1256-middle-markers,eton1256,middle-markers,S / u / f / f / . /   / - / b / à / -,,,
fass1245-middle-markers,fass1245,middle-markers,S / u / f / f / . /   / - / n / i / / / - / n / u,,,
nort2626-middle-markers,nort2626,middle-markers,R / e / f / l / e / x / i / v / e /   / p / r / o / n / o / u / n,,,
fwee1238-middle-markers,fwee1238,middle-markers,S / u / f / f / . /   / - / u / k / -,,,
