Original_Name,Name,Description,Possible values
n,Synthesis,Nature of the middle marker,synth; analytic
Type2,Strategy,Morphosyntactic strategy of middle marker,suffix; prefix; prefix+vowel template; clitic pronoun; number/voice; circumfix; preverb; person index; object pronouns; reflexive pronouns; TAM/voice/person endings; person indexes; preaspiration; infix; TAM/voice; reduplication; person/number/voice endings; pronoun; object pronoun; verb template; subj/obj index; vowel lenghtening/high tone; person prefixes
Passive,Passive,"Is the function ""Passive"" marked by the middle marker (mid), by a different construction (compl), by the middle and a competing construction (compt), or does not receive overt coding (no)?",mid; compl; compt; no
Anticausative,Anticausative,"Is the function ""Anticausative"" marked by the middle marker (mid), by a different construction (compl), by the middle and a competing construction (compt), or does not receive overt coding (no)?",mid; compl; compt; no
Reflexive,Reflexive,"Is the function ""Reflexive"" marked by the middle marker (mid), by a different construction (compl), by the middle and a competing construction (compt), or does not receive overt coding (no)?",mid; compl; compt; no
Reciprocal,Reciprocal,"Is the function ""Reciprocal"" marked by the middle marker (mid), by a different construction (compl), by the middle and a competing construction (compt), or does not receive overt coding (no)?",mid; compl; compt; no
Antipassive,Antipassive,"Is the function ""Antipassive"" marked by the middle marker (mid), by a different construction (compl), by the middle and a competing construction (compt), or does not receive overt coding (no)?",mid; compl; compt; no
Selfbenefactive,Selfbenefactive,"Is the function ""Selfbenefactive"" marked by the middle marker (mid), by a different construction (compl), by the middle and a competing construction (compt), or does not receive overt coding (no)?",mid; compl; compt; no
Impersonal,Impersonal,"Is the function ""Impersonal"" marked by the middle marker (mid), by a different construction (compl), by the middle and a competing construction (compt), or does not receive overt coding (no)?",mid; compl; compt; no
Facilitative,Facilitative,"Is the function ""Facilitative"" marked by the middle marker (mid), by a different construction (compl), by the middle and a competing construction (compt), or does not receive overt coding (no)?",mid; compl; compt; no
Other_opp_class,Other_opp_class,List of the other oppositional functions associated to the middle marker,"; aspect, other; aspect; other; lowtrans; aspect, lowtrans, other; aspect, lowtrans"
Oppositional,Syncretism_pattern,The syncretism pattern of the middle marker. Includes all the oppositional valency related functions associated to the middle marker.,ANTC/SELF; PASS/ANTC/REFL/SELF/RECP; PASS/ANTC/REFL/RECP; PASS/REFL/RECP; ANTC/REFL/RECP; REFL/SELF; PASS/ANTC/REFL/RECP/IMP; PASS/ANTC/REFL/RECP/ANTP; ANTC/ANTP/IMP; REFL/SELF/RECP; ANTC/REFL/RECP/ANTP/FAC; REFL/RECP; REFL/RECP/ANTP; PASS/REFL/SELF/ANTP; PASS/ANTC; ANTC/REFL; PASS/ANTC/IMP/FAC; PASS/ANTC/RECP; ANTC/REFL/SELF; REFL/SELF/RECP/ANTP; PASS/ANTC/ANTP; ANTC/REFL/RECP/ANTP; PASS/REFL/ANTP; ANTC/SELF/RECP; PASS/REFL/SELF; ANTC; PASS/ANTC/FAC; ANTC/REFL/SELF/RECP/IMP/FAC; PASS/ANTC/REFL/SELF/RECP/FAC; PASS/ANTC/RECP/FAC; PASS/REFL/SELF/RECP; REFL; ANTC/FAC; PASS/ANTC/REFL/ANTP; PASS; PASS/REFL/SELF/RECP/IMP; PASS/ANTC/REFL/SELF; PASS/ANTC/REFL; PASS/ANTC/REFL/SELF/RECP/IMP/FAC; PASS/ANTC/REFL/SELF/RECP/ANTP/IMP/FAC; ANTC/REFL/ANTP; PASS/RECP; ANTC/REFL/SELF/RECP/ANTP/IMP/FAC; PASS/FAC; RECP; ANTC/REFL/SELF/RECP; PASS/ANTC/REFL/RECP/FAC; ANTC/REFL/IMP; PASS/REFL; PASS/REFL/ANT; RECP/ANTP; ANTC/REFL/RECP/ANTP/IMP; PASS/ANTC/REFL/SELF/ANTP; PASS/REFL/RECP/ANTP; PASS/ANTC/REFL/SELF/RECP/ANTP; ANTC/ANTP
Number_opp_functions,Voice_functions,Number of voice related functions associated to the middle marker.,2; 5; 4; 3; 1; 6; 8; 7
Source,Source_type,Diachronic source of the middle marker,refl; norefl; unknown
Source_2,Source_type.Nonreflexive,More specific diachronic source of the middle marker if the source is not reflexive.,_; lex; uncontr ; voice; nom/verb; plur; aspect
