Language;Glottocode;Sample;Family;Group;Middle marker;n;Type2;Passive;Anticausative;Reflexive;Reciprocal;Antipassive;Selfbenefactive;Impersonal;Facilitative;Other_opp_class;Oppositional;Number_opp_functions;Source;Source_2;Multiple marking language;Cognate;Co-occurence;References
Afar;afar1241;Conv;Afro-Asiatic;Cushitic;Suffix -(i)t-;synth;suffix;compl;mid;compl;compl;no;mid;no;no;;ANTC/SELF;2;refl;_;no;_;_;"Mous2001; FufaTeso2009"
Ahtena;ahte1237;Var;Eyak-Athabaskan;Athabaskan;Prefix d- ;synth;prefix;mid;mid;mid;mid;no;mid;no;no;aspect, other;PASS/ANTC/REFL/SELF/RECP;5;refl;_;no;_;_;Rice2000
Akkadian;akka1240;Var;Afro-Asiatic;Semitic;N-stem;synth;prefix+vowel template;mid;mid;mid;mid;no;no;no;no;aspect;PASS/ANTC/REFL/RECP;4;norefl;lex;yes;no;no;Kouwenberg2010[288-300]
Akkadian;akka1240;Var;Afro-Asiatic;Semitic;T-stem;synth;prefix+vowel template;mid;no;mid;mid;no;no;no;no;other;PASS/REFL/RECP;3;unknown;_;yes;no;no;Kouwenberg2010[268-280]
Akuntsu;akun1241;Var;Tupian;Tuparì;Pronoun te;analytic;clitic pronoun;no;mid;compt;mid;no;no;no;no;;ANTC/REFL/RECP;3;refl;_;no;_;_;Aragon2014[237-239]
Alaba;alab1254;Conv;Afro-Asiatic;Cushitic;Suffix -akk'-/ -ʔ- ;synth;suffix;compl;compl;compt;compl;no;mid;no;no;;REFL/SELF;2;refl;_;no;_;_;Schneider-Blum2007[90-92]
Amharic;amha1245;Var;Afro-Asiatic;Semitic;Prefix tä-;synth;prefix;mid;mid;compt;compt;no;no;mid;no;other;PASS/ANTC/REFL/RECP/IMP;5;unknown;_;no;_;_;"Amberber2000; FufaTeso2009[114-134]"
Amuzgo, Guerrero;guer1243;Var;Otomanguean;Eastern Otomanguean;Tema extendido;synth;number/voice;compt;mid;mid;mid;mid;no;no;no;lowtrans;PASS/ANTC/REFL/RECP/ANTP;5;norefl;uncontr ;no;_;_;ApóstolPolanco2014
Apinayé;apin1244;Var;Jean;Northern;a-series prefixes;synth;prefix;no;mid;compl;compl;mid;no;mid;no;;ANTC/ANTP/IMP;3;unknown;_;no;_;_;CunhadeOliveira2005[130-134]
Armenian, Eastern;nucl1235;Var;Indo-European;Armenian;Suffix -v-;synth;suffix;mid;mid;mid;mid;no;no;no;no;;PASS/ANTC/REFL/RECP;4;norefl;voice;no;_;_;Dum-Tragut2009[334-363]
Aymara, Southern;sout2996;Var;Aymaran;Aymara;Suffix -si-;synth;suffix;no;no;mid;mid;no;mid;no;no;other;REFL/SELF/RECP;3;unknown;_;no;_;_;Coler2014[350-361,483-484]
Balinese;bali1278;Var;Austronesian;Malayo-Polynesian;Prefix ma-;synth;prefix;compl;mid;compt;compt;mid;no;no;mid;aspect, other;ANTC/REFL/RECP/ANTP/FAC;5;norefl;nom/verb;no;_;_;"Shibatani&Artawa2007; Udayana2013"
Bardi;bard1255;Var;Nyulnyulan;_;Circumfix (ma)-...-inyj;synth;circumfix;no;no;mid;mid;no;no;no;no;;REFL/RECP;2;norefl;uncontr ;no;_;_;"McGregor2000; Bowern2012[478-487]"
Batuley;batu1258;Var;Austronesian;Malayo-Polynesian;Prefix r-;synth;prefix;no;no;mid;mid;mid;no;no;no;;REFL/RECP/ANTP;3;norefl;plur;no;_;_;Daigle2015[87-93]
Bella Coola;bell1243;Conv;Salish;_;Suffix -m-;synth;suffix;compt;compt;compt;compl;compt;mid;no;no;other;PASS/REFL/SELF/ANTP;5;refl;_;no;_;_;Beck2000
Bidyogo;bidy1244;Var;Niger-Congo;Atlantic-Congo;Suffix -ok-;synth;suffix;mid;mid;no;no;no;no;no;no;;PASS/ANTC;2;norefl;lex;yes;no;no;Segerer2002[207-208]
Bidyogo;bidy1244;Var;Niger-Congo;Atlantic-Congo;Prefix nɛ-;synth;prefix;no;mid;mid;no;no;no;no;no;;ANTC/REFL;2;refl;_;yes;no;no;Segerer2002[205-206]
Bribri;brib1243;Conv;Chibchan;Core Chibchan;Suffix -r-;synth;suffix;mid;mid;compl;compl;no;no;mid;mid;;PASS/ANTC/IMP/FAC;4;norefl;uncontr ;no;_;_;SánchezAvendaño2009
Bullom So;bull1246;Var;Niger-Congo;Atlantic-Congo;Suffix -n-;synth;suffix;no;mid;compt;compl;no;no;no;no;;ANTC/REFL;2;unknown;_;no;_;_;Childs2011[176-178]
Bunan;gahr1239;Var;Sino-Tibetan;Tibeto-Burman;Middle -ɕ- ;synth;suffix;mid;mid;mid;mid;no;mid;no;no;;PASS/ANTC/REFL/SELF/RECP;5;norefl;nom/verb;yes;yes;yes;Widmer2018[408-420]
Bunan;gahr1239;Var;Sino-Tibetan;Tibeto-Burman;Suffix -s-;synth;suffix;mid;mid;no;mid;no;no;no;no;other;PASS/ANTC/RECP;3;norefl;nom/verb;yes;yes;yes;Widmer2018[361-382]
Burushaski;buru1296;Var;Isolate;_;Prefix dd-;synth;prefix;mid;mid;compt;compl;no;mid;no;no;;ANTC/REFL/SELF;3;norefl;lex;no;_;_;Karim2013
Bwatoo;bwat1240;Conv;Austronesian;Malayo-Polynesian;Prefix ve-;synth;prefix;no;mid;mid;mid;no;no;no;no;aspect, lowtrans, other;ANTC/REFL/RECP;3;norefl;plur;no;_;_;Bril2005
Caddo;cadd1256;Var;Caddoan;Caddoan;Suffix -uˀ;synth;suffix;no;mid;mid;mid;no;no;no;no;lowtrans;ANTC/REFL/RECP;3;unknown;_;no;_;_;Melnar2004[180-185]
Cavineña;cavi1250;Var;Tacanan;_;Circumfix k(a)-...-ti;synth;circumfix;no;no;mid;mid;mid;mid;no;no;;REFL/SELF/RECP/ANTP;4;unknown;_;yes;no;no;Guillaume2008[268-278]
Cavineña;cavi1250;Var;Tacanan;_;Suffix -ta(na);synth;suffix;mid;mid;no;no;mid;no;no;no;;PASS/ANTC/ANTP;3;refl;_;yes;no;no;Guillaume2008[256-267]
Chitimacha;chit1248;Var;Isolate;_;Preverb ʔapš;analytic;preverb;no;mid;mid;mid;mid;no;no;no;other;ANTC/REFL/RECP/ANTP;4;norefl;lex;no;_;_;Hieber2018
Chuwabu;chuw1238;Var;Niger-Congo;Atlantic-Congo;Suffix -uw-;synth;suffix;compt;mid;compl;compl;no;no;no;no;;PASS/ANTC;2;norefl;lex;no;_;_;Guèrois2015[254-257,269-271]
Columbia-Wenatchi;colu1241;Var;Salish;Southern-Interior-Salish;Suffix -m-;synth;suffix;mid;no;compt;compl;mid;no;no;no;;PASS/REFL/ANTP;3;refl;_;no;_;_;Willett2003[170-178]
Daai Chin;daai1236;Var;Sino-Tibetan;Tibeto-Burman;Prefix ng-;synth;prefix;mid;no;compt;mid;no;no;no;no;aspect;PASS/REFL/RECP;3;norefl;nom/verb;no;_;_;So-Hartmann2009[56-59,202-209]
Daasanach;daas1238;Var;Afro-Asiatic;Cushitic;Suffix -s-;synth;suffix;no;mid;compl;mid;no;mid;no;no;;ANTC/SELF/RECP;3;refl;_;no;_;_;Tosco2001[184-194]
Daga;daga1275;Var;Trans-New Guinea;Southeast Papuan;Intensive suffixes;synth;person index;no;no;compt;mid;no;mid;no;no;;REFL/SELF/RECP;3;refl;_;no;_;_;Murane1974[43-48]
Drung;dulo1243;Conv;Sino-Tibetan;Tibeto-Burman;Suffix -ɕɯ̌;synth;suffix;mid;compl;mid;compl;no;mid;no;no;aspect;PASS/REFL/SELF;3;norefl;nom/verb;no;_;_;LaPolla&Jiangling2005
Eton;eton1256;Var;Niger-Congo;Atlantic-Congo;Suffix -bà-;synth;suffix;no;compt;compl;compl;no;no;no;no;aspect;ANTC;1;norefl;uncontr ;no;_;_;vandeVelde2008[130-132]
Fas;faas1245;Var;Balbai-Fas;_;Suffix -ni/-nu;synth;suffix;mid;mid;compl;compl;mid;no;no;no;;PASS/ANTC/ANTP;3;unknown;_;no;_;_;Honeyman2017[196-197]
Frisian, Northern;nort2626;Var;Indo-European;Germanic;Reflexive pronoun;analytic;object pronouns;no;no;mid;mid;no;mid;no;no;;REFL/SELF/RECP;3;refl;_;no;_;_;Lasswell1998[266-267]
Fwe;fwee1238;Var;Niger-Congo;Atlantic-Congo;Suffix -uk-;synth;suffix;compt;compt;compl;compl;no;no;no;mid;other;PASS/ANTC/FAC;3;norefl;lex;no;_;_;Gunnink2018[234-239]
Garrwa;gara1269;Var;Garrwan;_;Reflexive pronouns;analytic;reflexive pronouns;no;no;mid;mid;no;no;no;no;other;REFL/RECP;2;norefl;uncontr ;no;_;_;Mushin2012[99-103]
German;stan1295;Conv;Indo-European;Germanic;Reflexive pronouns;analytic;clitic pronoun;compl;mid;mid;mid;no;mid;mid;mid;;ANTC/REFL/SELF/RECP/IMP/FAC;6;refl;_;no;_;_;Steinbach2002
Greek, Modern;mode1248;Var;Indo-European;Greek;Middle inflection;synth;TAM/voice/person endings;mid;mid;compt;mid;no;mid;no;mid;;PASS/ANTC/REFL/SELF/RECP/FAC;6;norefl;uncontr ;no;_;_;Manney2000
Guahibo;guah1255;Var;Guajiboan;Guajibo;Prefix na-;synth;prefix;no;mid;mid;mid;mid;no;no;no;;ANTC/REFL/RECP/ANTP;4;unknown;_;no;_;_;Queixalós1995[265-267]
Halkomelem;halk1245;Var;Salish;Central-Salish;Suffix -m;synth;suffix;mid;no;compt;compl;mid;mid;no;no;aspect;PASS/REFL/SELF/ANTP;4;refl;_;no;_;_;Gerdts2006
Hamer-Banna;hame1242;Var;Afro-Asiatic;Omotic;Suffix -(a)ʔ- ;synth;suffix;mid;mid;no;no;no;no;no;no;aspect;PASS/ANTC;2;unknown;_;yes;no;yes;Petrollino2016[142-148]
Hamer-Banna;hame1242;Var;Afro-Asiatic;Omotic;Suffix -Vm-;synth;suffix;mid;mid;no;mid;no;no;no;mid;aspect;PASS/ANTC/RECP/FAC;4;unknown;_;yes;no;yes;Petrollino2016[148-150]
Hausa;haus1257;Var;Afro-Asiatic;Chadic;Grade 7;synth;suffix;mid;compt;compl;compl;no;no;no;mid;other;PASS/ANTC;2;norefl;aspect;no;_;_;Newman2000[664-670]
Hebrew, Biblical;bibl1238;Conv;Afro-Asiatic;Semitic;N-stem;synth;prefix+vowel template;mid;no;mid;mid;no;mid;no;no;other;PASS/REFL/SELF/RECP;4;norefl;lex;yes;no;no;Gzella2009
Hebrew, Biblical;bibl1238;Conv;Afro-Asiatic;Semitic;T-stem;synth;prefix+vowel template;mid;mid;mid;mid;no;mid;no;mid;aspect, other;PASS/ANTC/REFL/SELF/RECP/FAC;6;unknown;_;yes;no;no;Gzella2009
Hidatsa;hida1246;Var;Siouan-Catawban;Siouan;Middle inflection;synth;person indexes;no;mid;no;no;no;no;no;no;;ANTC;1;unknown;_;yes;no;yes;Park2012[79-83]
Hidatsa;hida1246;Var;Siouan-Catawban;Siouan;Prefix hgi-;synth;suffix;no;no;mid;no;no;no;no;no;aspect, other;REFL;1;unknown;_;yes;no;yes;Park2012[162-178]
Hinukh;hinu1240;Var;North Caucasian;East Caucasian;Suffix -ł-;synth;suffix;no;mid;compl;compl;compl;no;no;mid;lowtrans;ANTC/FAC;2;unknown;_;no;_;_;Forker2013[328-330]
Hittite;hitt1242;Conv;Indo-European;Anatolian;Middle inflection;synth;TAM/voice/person endings;compt;mid;compt;compt;no;no;no;no;;PASS/ANTC/REFL/RECP;4;norefl;uncontr ;no;_;_;Inglese2020[103-151]
Ho;hooo1248;Var;Austro-Asiatic;Munda;Suffix -oʔ-;synth;suffix;no;mid;mid;mid;no;no;no;no;;ANTC/REFL/RECP;3;norefl;voice;yes;no;no;Pucilowski2013[107-111]
Ho;hooo1248;Var;Austro-Asiatic;Munda;Suffix -en-;synth;suffix;mid;mid;no;no;no;no;no;no;aspect;PASS/ANTC;2;unknown;_;yes;no;no;Pucilowski2013[111-115]
Huastec, South Eastern;huas1242;Var;Mayan;Huastecan;Suffix -(V)n-;synth;suffix;mid;mid;mid;no;mid;no;no;no;;PASS/ANTC/REFL/ANTP;4;norefl;voice;no;_;_;Kondic2011
Huave, San Dioniso del Mar;sand1278;Var;Huavean;_;Preaspiration;synth;preaspiration;mid;no;compl;compl;no;no;no;no;;PASS;1;unknown;_;no;_;_;Salminen2016[143]
Hupdë;hupd1244;Var;Puinavean;Hupda;Prefix hup-;synth;prefix;mid;no;mid;compt;no;mid;mid;no;;PASS/REFL/SELF/RECP/IMP;5;unknown;_;no;_;_;Epps2008[473-487]
Huron-Wyandot;wyan1247;Var;Iroquoian;Northern Iroquoian;Suffix -at-;synth;suffix;mid;mid;compl;compl;mid;no;no;no;;PASS/ANTC/ANTP;3;refl;_;no;_;_;"Lukaniec2010; Lukaniec2018"
Ida'an;idaa1241;Var;Austronesian;Malayo-Polynesian;Prefix b-;synth;prefix;mid;mid;mid;no;no;mid;no;no;;PASS/ANTC/REFL/SELF;4;unknown;_;yes;no;no;Goudswaard2005[172-177]
Ida'an;idaa1241;Var;Austronesian;Malayo-Polynesian;Infix -ər-;synth;infix;mid;mid;mid;mid;no;no;no;no;other;PASS/ANTC/REFL/RECP;4;norefl;voice;yes;no;no;Goudswaard2005[213-229]
Iraqw;iraq1241;Var;Afro-Asiatic;Cushitic;Suffix -t-;synth;suffix;compt;mid;compt;compl;no;no;no;no;aspect;PASS/ANTC/REFL;4;refl;_;no;_;_;Mous&Qorro2000
Italian;ital1282;Var;Indo-European;Italic;Reflexive pronoun;analytic;clitic pronoun;compt;mid;mid;mid;mid;mid;mid;mid;;PASS/ANTC/REFL/SELF/RECP/IMP/FAC;8;refl;_;no;_;_;"Serianni1988[254-255]; Ježek2003"
Kannada;nucl1305;Var;Dravidian;Southern;Suffix -koLLu-;synth;suffix;compl;mid;mid;no;no;mid;no;no;;ANTC/REFL/SELF;3;norefl;lex;no;_;_;Schifmann1983[86-88]
Kanoê;kano1245;Var;Isolate;_;Suffix -ry;synth;suffix;no;no;mid;mid;no;no;no;no;;REFL/RECP;2;refl;_;no;_;_;Bacelar2004[195-198]
Karbi, Hills;karb1241;Var;Sino-Tibetan;Tibeto-Burman;Prefix che-;synth;prefix;no;no;compt;compt;no;no;no;no;;REFL/RECP;2;refl;_;no;_;_;Konnerth2014[239-243]
Kayardild;kaya1319;Var;Tangic;Southern Tangic;Suffix -yii-;synth;suffix;mid;mid;mid;compl;no;mid;no;no;other;PASS/ANTC/REFL/SELF;4;norefl;uncontr ;no;_;_;Evans1995[276-279]
Khanty, Eastern;east2774;Var;Uralic;Khantyic;Suffix -uj- ;synth;suffix;compt;mid;compl;compl;no;no;no;no;;PASS/ANTC;2;unknown;_;no;_;_;Filchenko2007[258-261]
Kharia;khar1287;Var;Austro-Asiatic;Munda;Middle inflection;synth;TAM/voice;compt;mid;compt;compl;mid;no;no;no;aspect, lowtrans;PASS/ANTC/REFL/ANTP;4;unknown;_;no;_;_;Peterson2011[162-186]
Kiowa;kiow1266;Var;Kiowa-Tanoan;_;Reflexive prefixes;synth;person index;no;compl;mid;mid;no;mid;no;no;;REFL/SELF/RECP;3;refl;_;no;_;_;Watkins1984[140-141]
Konso;kons1243;Conv;Afro-Asiatic;Cushitic;Suffix -aʔ-;synth;suffix;compt;mid;compt;compl;no;mid;no;no;other;PASS/ANTC/REFL/SELF;4;refl;_;no;_;_;Mous2007
Koyukon;koyu1237;Var;Eyak-Athabaskan;Central Alaska-Yukon Athabaskan;Prefix d- ;synth;prefix;mid;mid;mid;mid;no;mid;no;no;aspect, other;PASS/ANTC/REFL/SELF/RECP;5;refl;_;no;_;_;Rice2000
Kryz;kryt1240;Conv;Nakh-Daghestanian;Daghestanian;Suffix -aR-;synth;suffix;mid;mid;compl;compl;mid;no;no;no;aspect;PASS/ANTC/ANTP;3;norefl;nom/verb;no;_;_;Authier2012
Kurux;kuru1301;Var;Dravidian;Northern;Suffix -rʔ-;synth;suffix;compt;mid;mid;compl;no;mid;no;no;;PASS/ANTC/REFL/SELF;4;norefl;uncontr ;no;_;_;Kobayashi2017[149-152]
Kusunda;kusu1250;Var;Isolate;_;Suffix -q;synth;suffix;compl;compt;compl;compl;no;no;no;no;;ANTC;1;norefl;uncontr ;no;_;_;Watters2006[99-101]
Laal;laal1242;Var;Isolate;_;Suffix -ɨɲ-;synth;suffix;mid;mid;mid;mid;no;no;no;no;;PASS/ANTC/REFL/RECP;4;unknown;_;no;_;_;Boyeldieu1982[196-202]
Laz;kart1248;Var;Kartvelian;Zan;Prefix -i-;synth;prefix;mid;mid;compt;compt;mid;mid;mid;mid;;PASS/ANTC/REFL/SELF/RECP/ANTP/IMP/FAC;8;unknown;_;no;_;_;Lacroix2012
Lewotobi;lewo1244;Var;Austronesian;Malayo-Polynesian;S enclitics;analytic;clitic pronoun;no;mid;compt;no;mid;no;no;no;;ANTC/REFL/ANTP;3;refl;_;no;_;_;Nagaya2009[356-361]
Lika;lika1243;Var;Niger-Congo;Atlantic-Congo;Suffix -an-;synth;suffix;compt;compl;compl;mid;no;no;no;no;;PASS/RECP;2;norefl;plur;no;_;_;deWit2015[375-377]
